Week_Start,Country_Code,Category,Media_Volume,tone_net_sentiment,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,Source_Diversity
2023-11-12,AE,Fashion_Beauty,281,1.851971635,4.105605142,2.253633507,6.359238649,20.0640437,0.717588839,196
2023-11-19,AE,Fashion_Beauty,287,0.965973634,3.714724354,2.74875072,6.463475075,21.45674898,0.7602886,227
2023-11-26,AE,Fashion_Beauty,625,-0.402148667,3.076308782,3.478457449,6.55476623,20.46849681,0.69067133,409
2023-12-03,AE,Fashion_Beauty,786,0.544411257,3.445140807,2.90072955,6.345870356,20.40684357,0.826430291,570
2023-12-10,AE,Fashion_Beauty,572,-0.860918237,2.965187196,3.826105433,6.791292629,20.26967282,0.491530859,453
2023-12-17,AE,Fashion_Beauty,309,1.096454872,3.692741036,2.596286164,6.2890272,21.09602567,0.660881072,228
2023-12-24,AE,Fashion_Beauty,211,1.794987155,4.191537435,2.39655028,6.588087715,20.77227122,0.647107669,120
2023-12-31,AE,Fashion_Beauty,124,1.439526319,4.235131222,2.795604903,7.030736126,19.95212662,0.513892544,96
2024-01-07,AE,Fashion_Beauty,183,2.296133869,4.366692628,2.070558759,6.437251388,20.42802212,0.630937643,131
2024-01-14,AE,Fashion_Beauty,174,1.898656743,4.413837065,2.515180322,6.929017387,20.09032203,0.593930824,118
2024-01-21,AE,Fashion_Beauty,103,2.160404092,4.607308601,2.446904509,7.054213109,20.33090675,0.641886902,73
2024-01-28,AE,Fashion_Beauty,217,0.207550816,4.131226385,3.923675568,8.054901953,19.30673031,0.487495923,150
2024-02-04,AE,Fashion_Beauty,159,1.907199648,4.413271025,2.506071377,6.919342402,20.0634016,0.541222911,100
2024-02-11,AE,Fashion_Beauty,164,1.620698053,4.186755744,2.56605769,6.752813434,21.03009513,0.571667857,117
2024-02-18,AE,Fashion_Beauty,169,2.275173927,4.448339499,2.173165572,6.621505071,20.53691045,0.588376072,114
2024-02-25,AE,Fashion_Beauty,185,2.591508132,4.604008434,2.012500301,6.616508735,19.60058976,0.653653059,114
2024-03-03,AE,Fashion_Beauty,163,2.475702603,4.816197598,2.340494995,7.156692593,20.58766563,0.658564046,115
2024-03-10,AE,Fashion_Beauty,221,0.679032801,3.62480132,2.945768519,6.570569839,21.30908494,0.561847055,163
2024-03-17,AE,Fashion_Beauty,145,1.79306689,4.271378136,2.478311246,6.749689382,20.72495616,0.560756358,99
2024-03-24,AE,Fashion_Beauty,204,0.639846546,3.638361477,2.99851493,6.636876407,21.4213646,0.89640003,160
2024-03-31,AE,Fashion_Beauty,173,2.155793483,4.641962473,2.48616899,7.128131463,20.08974889,0.687188693,120
2024-04-07,AE,Fashion_Beauty,126,1.595416747,3.904637602,2.309220855,6.213858457,21.14087626,0.575247505,99
2024-04-14,AE,Fashion_Beauty,210,-0.052846887,3.303826959,3.356673846,6.660500806,21.23266798,0.657514631,149
2024-04-21,AE,Fashion_Beauty,197,1.51660315,4.319948435,2.803345285,7.12329372,19.87246685,0.673149146,129
2024-04-28,AE,Fashion_Beauty,133,1.994299154,4.545872957,2.551573803,7.097446759,20.32172008,0.577036096,91
2024-05-05,AE,Fashion_Beauty,124,2.039488091,4.600390517,2.560902426,7.161292944,20.98830896,0.588917943,91
2024-05-12,AE,Fashion_Beauty,208,1.288033805,4.175759835,2.88772603,7.063485865,20.33767703,0.704060654,133
2024-05-19,AE,Fashion_Beauty,180,1.946322626,4.562227587,2.615904961,7.178132549,20.79551555,0.659164434,124
2024-05-26,AE,Fashion_Beauty,163,2.494318907,4.886857949,2.392539042,7.27939699,20.2074374,0.516275599,99
2024-06-02,AE,Fashion_Beauty,330,1.708611177,3.848418208,2.139807031,5.988225239,23.35200008,0.473804274,206
2024-06-09,AE,Fashion_Beauty,122,2.450938937,4.860094763,2.409155826,7.269250589,20.47079985,0.931622412,87
2024-06-16,AE,Fashion_Beauty,157,1.748978494,4.196447382,2.447468888,6.643916271,20.8527504,0.699306247,100
2024-06-23,AE,Fashion_Beauty,195,1.280431973,3.781018758,2.500586786,6.281605544,20.47121699,0.654750819,158
2024-06-30,AE,Fashion_Beauty,112,2.731575134,5.094254802,2.362679667,7.456934469,20.67395461,0.543723799,73
2024-07-07,AE,Fashion_Beauty,159,2.557114464,5.169222551,2.612108087,7.781330638,20.16017853,0.893295372,108
2024-07-14,AE,Fashion_Beauty,150,2.404176199,4.783875262,2.379699063,7.163574326,21.30003945,0.686717967,119
2024-07-21,AE,Fashion_Beauty,137,2.43242308,4.891722869,2.45929979,7.351022659,20.78703902,0.749555786,95
2024-07-28,AE,Fashion_Beauty,96,1.465861732,4.44531,2.979448268,7.424758268,20.36425633,0.491492321,62
2024-08-04,AE,Fashion_Beauty,90,1.576985471,4.536563024,2.959577553,7.496140577,19.74567092,0.712552739,63
2024-08-11,AE,Fashion_Beauty,97,0.798984971,4.206029123,3.407044152,7.613073274,20.24482593,0.828533918,60
2024-08-18,AE,Fashion_Beauty,108,1.286572741,4.028010158,2.741437417,6.769447575,20.87056957,0.92359909,79
2024-08-25,AE,Fashion_Beauty,72,1.79604391,4.565664511,2.769620601,7.335285112,21.8598719,0.818769694,51
2024-09-01,AE,Fashion_Beauty,187,1.735886686,4.973148986,3.2372623,8.210411286,20.49402651,0.588034271,103
2024-09-08,AE,Fashion_Beauty,160,0.171216614,3.763215517,3.591998903,7.35521442,19.60551491,0.595691896,123
2024-09-15,AE,Fashion_Beauty,124,1.640248516,4.238559226,2.59831071,6.836869937,20.16289329,0.615190436,86
2024-09-22,AE,Fashion_Beauty,159,1.960789278,4.546204881,2.585415603,7.131620484,20.67537721,0.530960575,102
2024-09-29,AE,Fashion_Beauty,120,2.55575463,4.841394372,2.285639742,7.127034114,20.91486257,0.644628274,84
2024-10-06,AE,Fashion_Beauty,195,-1.737777211,3.211919043,4.949696254,8.161615297,19.94827399,1.041619988,152
2024-10-13,AE,Fashion_Beauty,170,2.170748622,4.701734912,2.53098629,7.232721202,20.58922607,0.692863449,108
2024-10-20,AE,Fashion_Beauty,248,2.096153581,4.389790346,2.293636766,6.683427112,20.30771199,0.857027175,184
2024-10-27,AE,Fashion_Beauty,154,1.977126846,4.658213232,2.681086386,7.339299619,21.40045378,0.617690918,108
2024-11-03,AE,Fashion_Beauty,193,2.093760018,4.326811936,2.233051919,6.559863855,20.53057916,0.468411882,142
2024-11-10,AE,Fashion_Beauty,193,2.034704541,4.781877828,2.747173287,7.529051115,20.67698885,0.604515232,136
2024-11-17,AE,Fashion_Beauty,178,2.060233093,4.913810941,2.853577848,7.767388789,20.09511601,0.507935571,108
2024-11-24,AE,Fashion_Beauty,187,0.825150062,4.332828936,3.507678874,7.84050781,20.36472598,0.455722469,135
2024-12-01,AE,Fashion_Beauty,134,2.804101419,4.957241202,2.153139783,7.110380984,19.98244029,0.459718493,101
2024-12-08,AE,Fashion_Beauty,194,2.742413731,5.090257573,2.347843842,7.438101414,20.28999867,0.600407775,104
2024-12-15,AE,Fashion_Beauty,178,3.132547402,5.202735385,2.070187984,7.272923369,20.7552658,0.65370207,90
2024-12-22,AE,Fashion_Beauty,120,1.071600855,4.528090838,3.456489983,7.98458082,21.51352014,0.680034589,89
2024-12-29,AE,Fashion_Beauty,136,1.848165225,4.727535034,2.879369809,7.606904843,21.50937193,0.376875435,85
2025-01-05,AE,Fashion_Beauty,174,2.781249748,5.389240518,2.60799077,7.997231289,20.1358905,0.60549139,111
2025-01-12,AE,Fashion_Beauty,168,2.215348707,4.589960798,2.374612091,6.964572889,20.83070013,0.534252634,94
2025-01-19,AE,Fashion_Beauty,168,1.88309938,4.709339317,2.826239937,7.535579254,20.30215588,0.515978775,89
2025-01-26,AE,Fashion_Beauty,158,3.16350491,5.575895721,2.412390811,7.988286532,20.3482575,0.7493595,95
2025-02-02,AE,Fashion_Beauty,141,2.948017737,5.285563061,2.337545324,7.623108385,20.75229473,0.690161848,88
2025-02-09,AE,Fashion_Beauty,231,2.303001743,4.820381442,2.517379699,7.337761141,19.60555882,0.489086573,137
2025-02-16,AE,Fashion_Beauty,207,2.009795242,4.688082149,2.678286907,7.366369056,20.77472941,0.619968542,125
2025-02-23,AE,Fashion_Beauty,177,2.594421006,5.053093652,2.458672646,7.511766298,20.06787547,0.70447983,111
2025-03-02,AE,Fashion_Beauty,167,0.957569181,4.197314273,3.239745092,7.437059365,20.6874732,0.462725853,112
2025-03-09,AE,Fashion_Beauty,126,3.271545223,5.610167174,2.338621951,7.948789124,20.75995349,0.612953817,93
2025-03-16,AE,Fashion_Beauty,113,2.025627344,4.782588858,2.756961514,7.539550372,20.61111537,0.766506797,84
2025-03-23,AE,Fashion_Beauty,149,2.984899092,5.298276137,2.313377045,7.611653181,20.8538262,0.494214488,97
2025-03-30,AE,Fashion_Beauty,103,2.239678491,4.91362319,2.673944699,7.58756789,20.94667931,0.614244057,70
2025-04-06,AE,Fashion_Beauty,148,1.996056702,5.039721344,3.043664642,8.083385986,19.95231736,0.479560749,92
2025-04-13,AE,Fashion_Beauty,177,1.840822002,4.470548772,2.62972677,7.100275541,21.03376221,0.573726747,116
2025-04-20,AE,Fashion_Beauty,214,2.752358842,5.250170051,2.497811208,7.747981259,19.86724532,0.609566779,123
2025-04-27,AE,Fashion_Beauty,207,3.147708738,5.118449383,1.970740645,7.089190029,20.11905893,0.45854128,117
2025-05-04,AE,Fashion_Beauty,202,2.582497983,5.256681158,2.674183174,7.930864332,20.40704563,0.502617764,113
2025-05-11,AE,Fashion_Beauty,198,2.099121257,5.033966108,2.934844852,7.96881096,20.25719072,0.617203515,112
2025-05-18,AE,Fashion_Beauty,195,2.62243327,5.041848327,2.419415057,7.461263383,20.58983859,0.606369005,113
2025-05-25,AE,Fashion_Beauty,301,1.644776147,4.480135053,2.835358907,7.31549396,19.29734257,0.360605432,205
2025-06-01,AE,Fashion_Beauty,160,1.992423463,4.588075648,2.595652185,7.183727833,20.5656672,0.674695036,103
2025-06-08,AE,Fashion_Beauty,172,2.466727698,5.071841666,2.605113968,7.676955634,20.80892056,0.479699465,96
2025-06-29,AE,Fashion_Beauty,123,2.620593454,4.848011,2.227417546,7.075428546,21.3241593,0.724441121,73
2025-07-06,AE,Fashion_Beauty,187,2.371546028,5.055857249,2.684311221,7.740168469,20.44395818,0.440144465,97
2025-07-13,AE,Fashion_Beauty,225,2.208948299,5.040346169,2.83139787,7.871744038,19.1491535,0.442692598,128
2025-07-20,AE,Fashion_Beauty,217,2.516716674,4.924136861,2.407420187,7.331557047,19.82004779,0.755921538,156
2025-07-27,AE,Fashion_Beauty,133,2.257801302,4.579398685,2.321597383,6.900996068,21.24310899,0.619143058,85
2025-08-03,AE,Fashion_Beauty,184,1.288246974,4.498972465,3.210725491,7.709697955,20.27890892,0.48835897,118
2025-08-10,AE,Fashion_Beauty,158,2.155602293,5.026968971,2.871366678,7.898335648,20.40581591,0.538383259,92
2025-08-17,AE,Fashion_Beauty,157,2.023076671,4.559986522,2.536909851,7.096896374,21.66278552,0.44045002,96
2025-08-24,AE,Fashion_Beauty,165,1.25148888,4.527378701,3.275889821,7.803268522,20.53526656,0.675169811,100
2025-08-31,AE,Fashion_Beauty,223,-1.113997968,3.353055822,4.46705379,7.820109612,19.7388963,0.404978379,184
2025-09-07,AE,Fashion_Beauty,194,1.513254623,4.80927076,3.296016138,8.105286898,20.64791636,0.50512268,127
2025-09-14,AE,Fashion_Beauty,162,2.321520604,5.170190144,2.84866954,8.018859685,20.33543472,0.439047076,101
2025-09-21,AE,Fashion_Beauty,137,2.280514577,4.870398136,2.589883558,7.460281694,20.601137,0.513327634,96
2025-09-28,AE,Fashion_Beauty,189,2.214586073,4.880285048,2.665698975,7.545984023,20.735062,0.564218331,116
2025-10-05,AE,Fashion_Beauty,219,3.297479228,5.68346715,2.385987922,8.069455073,19.79235623,0.516492644,136
2025-10-12,AE,Fashion_Beauty,254,3.426144227,5.511463213,2.085318987,7.5967822,21.34468418,0.490178139,123
2025-10-19,AE,Fashion_Beauty,241,2.787870786,5.118374155,2.330503369,7.448877524,19.62802948,0.464186224,143
2025-10-26,AE,Fashion_Beauty,261,3.024718178,5.136871214,2.112153036,7.249024249,19.70029773,0.509850242,156
2025-11-02,AE,Fashion_Beauty,243,2.452514599,4.770736683,2.318222083,7.088958766,19.84342259,0.523816875,151
2025-11-09,AE,Fashion_Beauty,277,2.702299893,5.355409357,2.653109464,8.008518821,20.03759691,0.581189763,143
2025-11-16,AE,Fashion_Beauty,289,2.09015415,4.694175277,2.604021127,7.298196404,20.47639033,0.458584653,172
2025-11-23,AE,Fashion_Beauty,221,2.035162329,4.907904464,2.872742136,7.7806466,20.65306143,0.524827588,145
2025-11-30,AE,Fashion_Beauty,206,2.179255711,4.930015652,2.750759942,7.680775594,20.33035761,0.697044464,140
2025-12-07,AE,Fashion_Beauty,226,3.372027584,5.237171865,1.865144282,7.102316147,20.15190314,0.462360548,134
2025-12-14,AE,Fashion_Beauty,190,1.576958845,4.331471655,2.75451281,7.085984465,20.05653069,0.645748047,124
2025-12-21,AE,Fashion_Beauty,169,1.251759831,4.186141698,2.934381867,7.120523566,20.79194237,0.386478555,116
2025-12-28,AE,Fashion_Beauty,166,1.869747057,4.396813798,2.527066741,6.923880539,20.03571338,0.294914087,103
2026-01-04,AE,Fashion_Beauty,158,2.821199005,4.950289386,2.129090381,7.079379767,20.3342462,0.448376458,105
2026-01-11,AE,Fashion_Beauty,135,2.112154437,4.495903105,2.383748668,6.879651773,21.27174851,0.411224818,101
2026-01-18,AE,Fashion_Beauty,249,0.940171926,4.213096195,3.27292427,7.486020465,19.96669607,0.4299769,169
2026-01-25,AE,Fashion_Beauty,262,2.87199636,5.186984309,2.31498795,7.501972259,20.25303416,0.35966364,168
2026-02-01,AE,Fashion_Beauty,545,-0.591145204,3.530590993,4.121736197,7.65232719,20.13844186,0.528751614,351
2026-02-08,AE,Fashion_Beauty,294,0.418575913,3.938303698,3.519727785,7.458031482,19.77562148,0.661272514,181
2026-02-15,AE,Fashion_Beauty,315,-2.399619092,3.456528345,5.856147437,9.312675782,20.61935835,0.38383231,237
