Week_Start,Country_Code,Total_Events,Media_Volume,Total_Sources,Total_Mentions,Avg_Articles_Per_Event,Source_Diversity,Media_Tone,Avg_Goldstein,Root_Event_Count,Positive_Event_Count,Negative_Event_Count
2023-10-01,AE,1879,10083,1913,10331,5.3661522086216076,1.018094731240021,1.4151286640462881,3.0827567855242148,1343,1288,556
2023-10-08,AE,2149,10522,2201,10778,4.8962308050255947,1.0241973010702656,0.840350036222522,2.9029781293624937,1410,1274,820
2023-10-15,AE,2427,12239,2496,12537,5.04285125669551,1.0284301606922126,0.63460965408156678,3.0748248866913888,1469,1466,929
2023-10-22,AE,1824,9059,1878,9267,4.96655701754386,1.0296052631578949,1.2336184096166081,2.7683114035087724,1257,1165,617
2023-10-29,AE,2251,11318,2327,11510,5.0279875610839619,1.0337627721012876,0.977739679551574,2.9140382052421141,1493,1388,809
2023-11-05,AE,2068,10739,2124,11267,5.1929400386847187,1.0270793036750485,0.34194621261600311,3.0656189555125728,1270,1119,896
2023-11-12,AE,2071,11781,2206,11929,5.6885562530178664,1.0651859005311441,1.1004474136744873,3.0943505552872996,1382,1299,635
2023-11-19,AE,2191,11570,2280,11885,5.2806937471474207,1.0406207211319032,0.55200481317577865,3.21036056595162,1542,1227,907
2023-11-26,AE,7164,34460,7695,34967,4.8101619207146893,1.0741206030150749,0.15301516142237714,3.0558905639307663,4702,3794,3117
2023-12-03,AE,5802,28438,6023,28966,4.901413305756634,1.0380903136849364,0.061062008122403068,2.824853498793519,3936,2966,2700
2023-12-10,AE,3134,16378,3258,16653,5.2259093809827695,1.0395660497766432,0.48720497279167319,2.9150606253988522,2080,1738,1305
2023-12-17,AE,1759,9117,1789,9348,5.1830585559977269,1.0170551449687328,0.64495128615040276,3.1083570210346791,1236,1006,701
2023-12-24,AE,1277,6642,1306,6762,5.2012529365700857,1.0227094753328114,0.41127668798977157,3.1064212999216911,787,669,580
2023-12-31,AE,1363,6375,1376,6568,4.6771826852531184,1.0095377842993396,0.81290281004676257,3.1940572267057963,924,817,498
2024-01-07,AE,2081,8613,2118,8775,4.13887554060548,1.0177799135031236,0.52254202859017307,2.9591542527630943,1403,1121,893
2024-01-14,AE,1386,7309,1432,7520,5.2734487734487745,1.0331890331890334,0.96713653745866868,3.2668109668109668,1004,837,521
2024-01-21,AE,1277,6630,1303,6890,5.19185591229444,1.0203602192638996,1.2178041135734081,3.3570086139389193,896,805,443
2024-01-28,AE,1569,7681,1605,7871,4.8954748247291278,1.0229445506692161,2.1294855148369325,3.0792861695347353,1055,1096,442
2024-02-04,AE,1608,7984,1648,8139,4.965174129353235,1.0248756218905473,1.6910119378056212,3.1715174129353239,1062,1103,463
2024-02-11,AE,3055,13739,3109,14077,4.4972176759410818,1.0176759410801965,1.5633844061094095,2.936628477905074,2002,2213,776
2024-02-18,AE,1522,7793,1561,8013,5.120236530880419,1.0256241787122213,1.5318808131080721,3.0766754270696453,1066,1012,492
2024-02-25,AE,1757,9750,1794,10092,5.5492316448491747,1.0210586226522482,1.4698820504423853,3.0508252703471825,1300,1134,562
2024-03-03,AE,1495,7911,1521,8016,5.2916387959866213,1.0173913043478262,1.3105025444628726,3.2636120401337805,1030,987,486
2024-03-10,AE,1323,6823,1361,6910,5.1572184429327281,1.0287226001511722,1.2170866576550166,3.5906273620559328,887,843,462
2024-03-17,AE,1268,6566,1281,6726,5.1782334384858055,1.0102523659305995,1.700818172462081,3.2244479495268132,910,841,404
2024-03-24,AE,1091,5732,1131,5782,5.2538955087076085,1.0366636113657193,1.71978291971696,3.3757103574702096,726,727,359
2024-03-31,AE,1461,7983,1490,8107,5.4640657084188913,1.0198494182067077,1.9893798458867773,2.8851471594798088,998,1046,402
2024-04-07,AE,1035,5160,1062,5299,4.9855072463768142,1.0260869565217392,1.2225273284096365,3.0414492753623188,698,630,367
2024-04-14,AE,1668,8309,1721,8353,4.9814148681055146,1.0317745803357319,-1.0203459556386,2.9988609112709832,1029,642,988
2024-04-21,AE,1496,7803,1523,7933,5.21590909090909,1.0180481283422462,1.4850612457273753,3.0510695187165777,1015,1027,456
2024-04-28,AE,1388,7282,1412,7474,5.2463976945244939,1.0172910662824206,1.1267191685449933,3.1322046109510082,996,916,450
2024-05-05,AE,1438,7090,1440,7198,4.9304589707927686,1.0013908205841451,1.8186639030494924,2.9675938803894293,1094,1003,410
2024-05-12,AE,1589,7918,1633,8131,4.983008181246066,1.0276903713027059,1.9059674520066496,3.2116425424795469,1073,1116,449
2024-05-19,AE,1386,7062,1436,7241,5.0952380952380949,1.0360750360750364,1.2795878412199029,2.9951659451659447,955,898,440
2024-05-26,AE,1556,8247,1600,8536,5.3001285347043705,1.02827763496144,1.7000173206850393,3.2606041131105394,994,1028,507
2024-06-02,AE,1392,7430,1515,7543,5.3376436781609193,1.0883620689655171,0.2727356368194514,3.0038074712643681,875,745,615
