Week_Start,Country_Code,Category,Media_Volume,tone_net_sentiment,tone_positive_score,tone_negative_score,tone_polarity,tone_activity_density,tone_self_group_density,Source_Diversity
2023-01-01,AE,Diabetes_Metabolic,8,4.5828369459760525,7.0372413514584675,2.4544044054824194,9.4916457569408763,22.77234425222915,0.7646368789840603,8
2023-01-08,AE,Diabetes_Metabolic,11,2.1206513884112,5.0884635175540289,2.9678121291428314,8.056275646696859,18.117034067251677,0.68599408346843138,8
2023-01-15,AE,Diabetes_Metabolic,3,1.1398167256414791,5.0407729596136139,3.9009562339721366,8.94172919358575,20.482593296684733,1.7131809456162799,3
2023-01-22,AE,Diabetes_Metabolic,10,4.6999377478703188,6.52607962042964,1.8261418725593219,8.3522214929889547,18.70614318361206,1.4319550370090641,7
2023-01-29,AE,Diabetes_Metabolic,12,-0.24330518063739265,6.2337008073462261,6.4770059879836186,12.710706795329839,21.257491683841327,0.35338101286558737,8
2023-02-05,AE,Diabetes_Metabolic,5,-0.64157060282006217,4.1075378712978692,4.7491084741179321,8.8566463454158164,20.11595910159728,0.30233810452788562,5
2023-02-12,AE,Diabetes_Metabolic,2,-4.26837568058075,3.866833030852995,8.13520871143376,12.002041742286774,16.2171052631579,0.4310344827586205,2
2023-02-19,AE,Diabetes_Metabolic,15,2.2832295010148624,4.57972784272553,2.296498341710667,6.8762261844362023,19.649058632133606,0.5843615415414154,10
2023-02-26,AE,Diabetes_Metabolic,11,7.8979115870630938,10.255468967783571,2.3575573807204653,12.613026348504022,16.540092169024692,0.25545536831630278,8
2023-03-05,AE,Diabetes_Metabolic,10,-0.65683905956124566,3.345557535821484,4.00239659538273,7.3479541312042178,23.182901984023818,0.97768034464550779,9
2023-03-12,AE,Diabetes_Metabolic,8,0.84043620166677657,4.5156463138438534,3.6752101121770773,8.1908564260209271,20.221646915384834,0.63038857936277171,5
2023-03-19,AE,Diabetes_Metabolic,9,-2.3805235225318939,3.5589262808952005,5.9394498034270891,9.498376084322306,21.400323980625821,0.40523209123672305,6
2023-03-26,AE,Diabetes_Metabolic,22,2.2290265160631684,5.57076007624618,3.3417335601830112,8.9124936364291862,19.917521416123343,0.60808188249488238,10
2023-04-02,AE,Diabetes_Metabolic,11,-0.55578402434257412,3.5228620507704886,4.0786460751130633,7.6015081258835533,22.088958095033153,0.80053908551399089,8
2023-04-09,AE,Diabetes_Metabolic,11,0.95742507692651224,3.5897142162682329,2.6322891393417223,6.2220033556099557,22.571775545257189,1.2603402679326163,8
2023-04-16,AE,Diabetes_Metabolic,16,1.389280474606114,3.9881512271033834,2.5988707524972687,6.5870219796006522,22.465569592071073,0.96983648102029163,11
2023-04-23,AE,Diabetes_Metabolic,15,2.707207081583392,5.8190461727655327,3.11183909118214,8.9308852639476655,21.25185374647446,0.63383582652822157,14
2023-04-30,AE,Diabetes_Metabolic,35,0.40581007247020828,5.1399277307199389,4.7341176582497306,9.87404538896967,21.153748350398956,0.45426345816747538,27
2023-05-07,AE,Diabetes_Metabolic,9,3.2055323180526081,6.4296918786008783,3.224159560548264,9.6538514391491468,19.395200208243935,0.92340111908891753,9
