Country_Name,Category,Search_Velocity,Search_Acceleration,Media_Volume,tone_net_sentiment,tone_polarity,tone_activity_density,Source_Diversity,Inflation_Rate,Internet_Penetration,holiday_count,Search_Velocity_Lag1,Search_Velocity_Lag2
United_Arab_Emirates,Fashion_Beauty,-3.3599999999999994,-6.349999999999994,170.0,2.13,6.66,20.61,134.0,1.250865245598,100.0,1,2.989999999999995,-1.5699999999999932
United_Arab_Emirates,Fashion_Beauty,-0.2600000000000051,3.0999999999999943,136.0,0.41,7.02,21.02,92.0,1.250865245598,100.0,0,-3.3599999999999994,2.989999999999995
United_Arab_Emirates,Fashion_Beauty,3.820000000000008,4.0800000000000125,141.0,-0.8,7.72,20.25,103.0,1.250865245598,100.0,0,-0.2600000000000051,-3.3599999999999994
United_Arab_Emirates,Fashion_Beauty,-3.680000000000007,-7.500000000000014,17.0,3.42,6.5,18.26,14.0,1.250865245598,100.0,0,3.820000000000008,-0.2600000000000051
United_Arab_Emirates,Fitness_Wearables,-5.260000000000005,-4.3300000000000125,3.0,-4.3,7.3,20.75,3.0,1.250865245598,100.0,0,-0.9299999999999926,-2.769999999999996
United_Arab_Emirates,Fitness_Wearables,15.150000000000006,20.41000000000001,2.0,5.15,8.86,21.35,2.0,1.250865245598,100.0,0,-5.260000000000005,-0.9299999999999926
United_Arab_Emirates,Nutrition_Diets,-4.950000000000003,-5.780000000000001,430.0,-0.7,8.12,21.1,255.0,1.250865245598,100.0,1,0.8299999999999983,-5.22999999999999
United_Arab_Emirates,Nutrition_Diets,-1.3699999999999974,3.5800000000000054,392.0,0.18,7.77,21.31,212.0,1.250865245598,100.0,0,-4.950000000000003,0.8299999999999983
United_Arab_Emirates,Nutrition_Diets,11.800000000000004,13.170000000000002,510.0,-0.63,7.84,20.21,287.0,1.250865245598,100.0,0,-1.3699999999999974,-4.950000000000003
United_Arab_Emirates,Nutrition_Diets,-5.150000000000006,-16.95000000000001,41.0,-0.83,8.19,21.26,34.0,1.250865245598,100.0,0,11.800000000000004,-1.3699999999999974
Australia,Fashion_Beauty,-2.480000000000004,-0.3700000000000045,329.0,0.3,6.25,22.0,238.0,2.87403791660173,96.13140106,0,-2.1099999999999994,4.469999999999999
Australia,Fashion_Beauty,4.180000000000007,6.660000000000011,380.0,-0.1,6.04,21.33,239.0,2.87403791660173,96.13140106,0,-2.480000000000004,-2.1099999999999994
Australia,Fashion_Beauty,-0.9099999999999966,-5.090000000000003,424.0,0.42,5.95,21.44,271.0,2.87403791660173,96.13140106,0,4.180000000000007,-2.480000000000004
Australia,Fashion_Beauty,-3.8000000000000114,-2.890000000000015,104.0,0.66,5.73,22.45,90.0,2.87403791660173,96.13140106,0,-0.9099999999999966,4.180000000000007
Australia,Fitness_Wearables,-0.8900000000000006,-2.230000000000004,3.0,2.86,6.64,23.0,3.0,2.87403791660173,96.13140106,0,1.3400000000000034,2.259999999999991
Australia,Fitness_Wearables,-1.75,-0.8599999999999994,7.0,2.06,5.68,25.54,6.0,2.87403791660173,96.13140106,0,-0.8900000000000006,1.3400000000000034
Australia,Nutrition_Diets,1.1700000000000017,0.6400000000000006,1903.0,-1.5,7.58,23.18,625.0,2.87403791660173,96.13140106,0,0.5300000000000011,0.0600000000000022
Australia,Nutrition_Diets,-2.4099999999999966,-3.5799999999999983,1784.0,-1.78,7.73,23.18,602.0,2.87403791660173,96.13140106,0,1.1700000000000017,0.5300000000000011
Australia,Nutrition_Diets,-3.719999999999999,-1.3100000000000025,2048.0,-1.2,7.57,22.75,709.0,2.87403791660173,96.13140106,0,-2.4099999999999966,1.1700000000000017
Australia,Nutrition_Diets,-2.1099999999999994,1.6099999999999994,142.0,-1.65,7.23,23.01,94.0,2.87403791660173,96.13140106,0,-3.719999999999999,-2.4099999999999966
Brazil,Fashion_Beauty,0.25,0.490000000000002,974.0,0.09,5.78,22.67,346.0,5.01675279604836,84.46347227,0,-0.240000000000002,-2.469999999999999
Brazil,Fashion_Beauty,0.3900000000000005,0.1400000000000005,924.0,0.23,5.78,22.66,287.0,5.01675279604836,84.46347227,0,0.25,-0.240000000000002
Brazil,Fashion_Beauty,7.729999999999997,7.339999999999996,1012.0,-0.23,6.07,23.06,326.0,5.01675279604836,84.46347227,1,0.3900000000000005,0.25
