Week_Start,Country_Code,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration
2023-01-08,IN,India,Fitness_Wearables,76.87,-3.23,0.74
2023-01-08,IN,India,Nutrition_Diets,72.88,-1.57,0.1
2023-01-08,JP,Japan,Fashion_Beauty,19.4,0.59,69.69
2023-01-08,JP,Japan,Fitness_Wearables,29.31,-1.66,24.55
2023-01-08,JP,Japan,Nutrition_Diets,11.31,1.27,28.03
2023-01-08,KE,Kenya,Fashion_Beauty,89.53,-2.78,-42.35
2023-01-08,KE,Kenya,Fitness_Wearables,74.32,2.58,-37.75
2023-01-08,KE,Kenya,Nutrition_Diets,82.14,6.18,-18.6
2023-01-08,MX,Mexico,Fashion_Beauty,55.57,-6.66,16.26
2023-01-08,MX,Mexico,Fitness_Wearables,73.99,-7.84,-17.41
2023-01-08,MX,Mexico,Nutrition_Diets,36.34,0.72,38.26
2023-01-08,NG,Nigeria,Fashion_Beauty,90.03,1.16,-28.47
2023-01-08,NG,Nigeria,Fitness_Wearables,78.15,2.18,7.39
2023-01-08,NG,Nigeria,Nutrition_Diets,84.76,5.32,-23.77
2023-01-08,SG,Singapore,Fashion_Beauty,54.87,3.46,25.61
2023-01-08,SG,Singapore,Fitness_Wearables,64.28,-6.47,-7.47
2023-01-08,SG,Singapore,Nutrition_Diets,52.81,-4.14,2.35
2023-01-08,US,United_States,Fashion_Beauty,42.96,-1.21,44.21
2023-01-08,US,United_States,Fitness_Wearables,63.77,-7.99,5.72
2023-01-08,US,United_States,Nutrition_Diets,65.07,-5.44,0.55
2023-01-08,ZA,South_Africa,Fashion_Beauty,65.74,-3.34,-12.59
2023-01-08,ZA,South_Africa,Fitness_Wearables,95.17,-1.76,-37.13
2023-01-08,ZA,South_Africa,Nutrition_Diets,97.16,-2.84,-46.23
2023-01-15,AE,United_Arab_Emirates,Fashion_Beauty,66.51,1.09,2.9
2023-01-15,AE,United_Arab_Emirates,Fitness_Wearables,71.74,1.46,3.96
2023-01-15,AE,United_Arab_Emirates,Nutrition_Diets,73.12,3.95,9.18
2023-01-15,AU,Australia,Fashion_Beauty,58.68,0.49,0.36
2023-01-15,AU,Australia,Fitness_Wearables,81.6,-5.66,-3.71
2023-01-15,AU,Australia,Nutrition_Diets,84.15,-2.87,0.85
2023-01-15,BR,Brazil,Fashion_Beauty,51.05,-1.6,-2.96
2023-01-15,BR,Brazil,Fitness_Wearables,72.07,-0.6,-3.3
2023-01-15,BR,Brazil,Nutrition_Diets,39.26,1.6,0.54
2023-01-15,CA,Canada,Fashion_Beauty,63.07,1.99,2.1
2023-01-15,CA,Canada,Fitness_Wearables,77.17,-3.88,6.06
2023-01-15,CA,Canada,Nutrition_Diets,83.71,-0.45,-1.26
2023-01-15,CN,China,Fashion_Beauty,11.18,-1.74,-3.98
2023-01-15,CN,China,Fitness_Wearables,32.92,7.8,11.27
2023-01-15,CN,China,Nutrition_Diets,5.11,0,-1.65
2023-01-15,DE,Germany,Fashion_Beauty,46.93,2.57,2.9
2023-01-15,DE,Germany,Fitness_Wearables,77.75,-6.13,-0.11
2023-01-15,DE,Germany,Nutrition_Diets,48.02,-1.16,-0.48
2023-01-15,FR,France,Fashion_Beauty,36.03,4.98,2.11
2023-01-15,FR,France,Fitness_Wearables,59.56,-4.22,-2.32
