Week_Start,Country_Code,Country_Name,Category,Search_Interest
2024-07-07,AE,United_Arab_Emirates,Nutrition_Diets,70.09
2024-07-14,AE,United_Arab_Emirates,Nutrition_Diets,72.94
2024-07-21,AE,United_Arab_Emirates,Nutrition_Diets,71.01
2024-07-28,AE,United_Arab_Emirates,Nutrition_Diets,71.83
2024-08-04,AE,United_Arab_Emirates,Nutrition_Diets,71.93
2024-08-11,AE,United_Arab_Emirates,Nutrition_Diets,76.51
2024-08-18,AE,United_Arab_Emirates,Nutrition_Diets,75.14
2024-08-25,AE,United_Arab_Emirates,Nutrition_Diets,73.03
2024-09-01,AE,United_Arab_Emirates,Nutrition_Diets,75.05
2024-09-08,AE,United_Arab_Emirates,Nutrition_Diets,72.2
2024-09-15,AE,United_Arab_Emirates,Nutrition_Diets,71.19
2024-09-22,AE,United_Arab_Emirates,Nutrition_Diets,69.17
2024-09-29,AE,United_Arab_Emirates,Nutrition_Diets,70.73
2024-10-06,AE,United_Arab_Emirates,Nutrition_Diets,66.97
2024-10-13,AE,United_Arab_Emirates,Nutrition_Diets,69.63
2024-10-20,AE,United_Arab_Emirates,Nutrition_Diets,64.13
2024-10-27,AE,United_Arab_Emirates,Nutrition_Diets,64.68
2024-11-03,AE,United_Arab_Emirates,Nutrition_Diets,67.89
2024-11-10,AE,United_Arab_Emirates,Nutrition_Diets,64.95
2024-11-17,AE,United_Arab_Emirates,Nutrition_Diets,65.41
2024-11-24,AE,United_Arab_Emirates,Nutrition_Diets,60.09
2024-12-01,AE,United_Arab_Emirates,Nutrition_Diets,60.09
2024-12-08,AE,United_Arab_Emirates,Nutrition_Diets,58.81
2024-12-15,AE,United_Arab_Emirates,Nutrition_Diets,59.91
2024-12-22,AE,United_Arab_Emirates,Nutrition_Diets,54.86
2024-12-29,AE,United_Arab_Emirates,Nutrition_Diets,61.19
2025-01-05,AE,United_Arab_Emirates,Nutrition_Diets,66.33
2025-01-12,AE,United_Arab_Emirates,Nutrition_Diets,70
2025-01-19,AE,United_Arab_Emirates,Nutrition_Diets,66.7
2025-01-26,AE,United_Arab_Emirates,Nutrition_Diets,64.86
2025-02-02,AE,United_Arab_Emirates,Nutrition_Diets,64.22
2025-02-09,AE,United_Arab_Emirates,Nutrition_Diets,64.22
2025-02-16,AE,United_Arab_Emirates,Nutrition_Diets,62.57
2025-02-23,AE,United_Arab_Emirates,Nutrition_Diets,57.89
2025-03-02,AE,United_Arab_Emirates,Nutrition_Diets,58.44
2025-03-09,AE,United_Arab_Emirates,Nutrition_Diets,61.65
2025-03-16,AE,United_Arab_Emirates,Nutrition_Diets,59.91
2025-03-23,AE,United_Arab_Emirates,Nutrition_Diets,56.33
2025-03-30,AE,United_Arab_Emirates,Nutrition_Diets,61.93
2025-04-06,AE,United_Arab_Emirates,Nutrition_Diets,65.87
2025-04-13,AE,United_Arab_Emirates,Nutrition_Diets,65.87
2025-04-20,AE,United_Arab_Emirates,Nutrition_Diets,68.53
2025-04-27,AE,United_Arab_Emirates,Nutrition_Diets,64.4
2025-05-04,AE,United_Arab_Emirates,Nutrition_Diets,60.64
2025-05-11,AE,United_Arab_Emirates,Nutrition_Diets,63.58
2025-05-18,AE,United_Arab_Emirates,Nutrition_Diets,63.58
2025-05-25,AE,United_Arab_Emirates,Nutrition_Diets,61.65
2025-06-01,AE,United_Arab_Emirates,Nutrition_Diets,62.94
2025-06-08,AE,United_Arab_Emirates,Nutrition_Diets,67.61
2025-06-15,AE,United_Arab_Emirates,Nutrition_Diets,63.49
2025-06-22,AE,United_Arab_Emirates,Nutrition_Diets,61.19
2025-06-29,AE,United_Arab_Emirates,Nutrition_Diets,64.31
2025-07-06,AE,United_Arab_Emirates,Nutrition_Diets,65.23
2025-07-13,AE,United_Arab_Emirates,Nutrition_Diets,64.4
2025-07-20,AE,United_Arab_Emirates,Nutrition_Diets,63.03
2025-07-27,AE,United_Arab_Emirates,Nutrition_Diets,60.64
2025-08-03,AE,United_Arab_Emirates,Nutrition_Diets,69.36
2025-08-10,AE,United_Arab_Emirates,Nutrition_Diets,68.35
2025-08-17,AE,United_Arab_Emirates,Nutrition_Diets,63.94
2025-08-24,AE,United_Arab_Emirates,Nutrition_Diets,61.74
2025-08-31,AE,United_Arab_Emirates,Nutrition_Diets,61.28
2025-09-07,AE,United_Arab_Emirates,Nutrition_Diets,58.17
2025-09-14,AE,United_Arab_Emirates,Nutrition_Diets,56.51
2025-09-21,AE,United_Arab_Emirates,Nutrition_Diets,57.61
2025-09-28,AE,United_Arab_Emirates,Nutrition_Diets,54.59
2025-10-05,AE,United_Arab_Emirates,Nutrition_Diets,56.42
2025-10-12,AE,United_Arab_Emirates,Nutrition_Diets,56.06
2025-10-19,AE,United_Arab_Emirates,Nutrition_Diets,56.06
2025-10-26,AE,United_Arab_Emirates,Nutrition_Diets,63.67
2025-11-02,AE,United_Arab_Emirates,Nutrition_Diets,71.83
2025-11-09,AE,United_Arab_Emirates,Nutrition_Diets,74.31
2025-11-16,AE,United_Arab_Emirates,Nutrition_Diets,70.28
2025-11-23,AE,United_Arab_Emirates,Nutrition_Diets,71.19
2025-11-30,AE,United_Arab_Emirates,Nutrition_Diets,70.09
2025-12-07,AE,United_Arab_Emirates,Nutrition_Diets,70.73
2025-12-14,AE,United_Arab_Emirates,Nutrition_Diets,65.6
2025-12-21,AE,United_Arab_Emirates,Nutrition_Diets,63.12
2025-12-28,AE,United_Arab_Emirates,Nutrition_Diets,69.08
2026-01-04,AE,United_Arab_Emirates,Nutrition_Diets,70.83
2026-01-11,AE,United_Arab_Emirates,Nutrition_Diets,68.9
2026-01-18,AE,United_Arab_Emirates,Nutrition_Diets,73.12
2026-01-25,AE,United_Arab_Emirates,Nutrition_Diets,74.31
2026-02-01,AE,United_Arab_Emirates,Nutrition_Diets,69.45
2026-02-08,AE,United_Arab_Emirates,Nutrition_Diets,75.23
2026-02-15,AE,United_Arab_Emirates,Nutrition_Diets,71.56
2026-02-22,AE,United_Arab_Emirates,Nutrition_Diets,73.67
2026-03-01,AE,United_Arab_Emirates,Nutrition_Diets,57.06
2026-03-08,AE,United_Arab_Emirates,Nutrition_Diets,64.59
2026-03-15,AE,United_Arab_Emirates,Nutrition_Diets,64.31
2026-03-22,AE,United_Arab_Emirates,Nutrition_Diets,72.2
2026-03-29,AE,United_Arab_Emirates,Nutrition_Diets,80.28
2026-04-05,AE,United_Arab_Emirates,Nutrition_Diets,76.06
2026-04-12,AE,United_Arab_Emirates,Nutrition_Diets,77.89
2026-04-19,AE,United_Arab_Emirates,Nutrition_Diets,78.99
2026-04-26,AE,United_Arab_Emirates,Nutrition_Diets,79.72
2026-05-03,AE,United_Arab_Emirates,Nutrition_Diets,78.26
2026-05-10,AE,United_Arab_Emirates,Nutrition_Diets,77.8
2026-05-17,AE,United_Arab_Emirates,Nutrition_Diets,71.93
2026-05-24,AE,United_Arab_Emirates,Nutrition_Diets,72.2
2026-05-31,AE,United_Arab_Emirates,Nutrition_Diets,76.88
2026-06-07,AE,United_Arab_Emirates,Nutrition_Diets,64.5
2026-06-14,AE,United_Arab_Emirates,Nutrition_Diets,62.29
2026-06-21,AE,United_Arab_Emirates,Nutrition_Diets,62.2
2026-06-28,AE,United_Arab_Emirates,Nutrition_Diets,74.22
2026-07-05,AE,United_Arab_Emirates,Nutrition_Diets,84.5
2026-07-12,AE,United_Arab_Emirates,Nutrition_Diets,100
2026-07-19,AE,United_Arab_Emirates,Nutrition_Diets,78.72
2026-07-26,AE,United_Arab_Emirates,Nutrition_Diets,69.91
2026-08-02,AE,United_Arab_Emirates,Nutrition_Diets,68.07
2026-08-09,AE,United_Arab_Emirates,Nutrition_Diets,62.84
2026-08-16,AE,United_Arab_Emirates,Nutrition_Diets,63.67
2026-08-23,AE,United_Arab_Emirates,Nutrition_Diets,58.72
2023-01-01,AE,United_Arab_Emirates,Fitness_Wearables,72.78
2023-01-08,AE,United_Arab_Emirates,Fitness_Wearables,70.28
2023-01-15,AE,United_Arab_Emirates,Fitness_Wearables,71.74
2023-01-22,AE,United_Arab_Emirates,Fitness_Wearables,69.03
2023-01-29,AE,United_Arab_Emirates,Fitness_Wearables,71.85
2023-02-05,AE,United_Arab_Emirates,Fitness_Wearables,70.18
2023-02-12,AE,United_Arab_Emirates,Fitness_Wearables,69.66
2023-02-19,AE,United_Arab_Emirates,Fitness_Wearables,69.76
2023-02-26,AE,United_Arab_Emirates,Fitness_Wearables,67.67
2023-03-05,AE,United_Arab_Emirates,Fitness_Wearables,67.15
2023-03-12,AE,United_Arab_Emirates,Fitness_Wearables,66.21
2023-03-19,AE,United_Arab_Emirates,Fitness_Wearables,67.78
2023-03-26,AE,United_Arab_Emirates,Fitness_Wearables,70.59
2023-04-02,AE,United_Arab_Emirates,Fitness_Wearables,66.74
2023-04-09,AE,United_Arab_Emirates,Fitness_Wearables,64.13
2023-04-16,AE,United_Arab_Emirates,Fitness_Wearables,63.82
2023-04-23,AE,United_Arab_Emirates,Fitness_Wearables,70.59
2023-04-30,AE,United_Arab_Emirates,Fitness_Wearables,68.51
2023-05-07,AE,United_Arab_Emirates,Fitness_Wearables,68.72
2023-05-14,AE,United_Arab_Emirates,Fitness_Wearables,70.18
2023-05-21,AE,United_Arab_Emirates,Fitness_Wearables,72.37
2023-05-28,AE,United_Arab_Emirates,Fitness_Wearables,71.85
2023-06-04,AE,United_Arab_Emirates,Fitness_Wearables,74.35
2023-06-11,AE,United_Arab_Emirates,Fitness_Wearables,73.72
2023-06-18,AE,United_Arab_Emirates,Fitness_Wearables,75.6
2023-06-25,AE,United_Arab_Emirates,Fitness_Wearables,64.86
2023-07-02,AE,United_Arab_Emirates,Fitness_Wearables,79.35
2023-07-09,AE,United_Arab_Emirates,Fitness_Wearables,76.23
2023-07-16,AE,United_Arab_Emirates,Fitness_Wearables,74.66
2023-07-23,AE,United_Arab_Emirates,Fitness_Wearables,77.37
